gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,csho,dvt,ebit,lct,lt,ni,sale,seq,costat,prcc_c
004016,20210131,2020,INDL,C,D,STD,DG,USD,6914.2190,25862.6240,6661.2380,240.7850,355.9340,3721.7650,5710.7830,19201.3860,2655.0500,33746.8390,6661.2380,A,210.3000
004029,20211231,2021,INDL,C,D,STD,D,USD,7269.0000,99590.0000,25525.0000,810.0000,2104.0000,3307.0000,8673.0000,70672.0000,3288.0000,13964.0000,28918.0000,A,78.5600
004036,20210731,2021,INDL,C,D,STD,DCI,USD,1244.0000,2400.2000,1137.1000,125.0230,108.1000,406.4000,606.6000,1263.1000,286.9000,2860.8000,1137.1000,A,59.2600
004058,20211231,2021,INDL,C,D,STD,DOV,USD,3061.7090,10403.6270,4189.5280,144.0460,286.8960,1299.1130,2250.3410,6214.0990,1123.8180,7907.0810,4189.5280,A,181.6000
004066,20211231,2021,INDL,C,D,STD,OMC,USD,15909.5000,28421.8000,3270.2000,209.1000,599.6000,2147.4000,16226.2000,24302.8000,1407.8000,14289.4000,3270.2000,A,73.2700
004091,20211231,2021,INDL,C,D,STD,DCO,USD,492.5690,978.7350,474.6020,11.9250,0.0000,50.0810,162.5600,504.1330,135.5360,645.4130,474.6020,A,46.7700
004093,20211231,2021,INDL,C,D,STD,DUK,USD,9940.0000,169587.0000,47334.0000,769.0000,3114.0000,5758.0000,15931.0000,118451.0000,3908.0000,25069.0000,49296.0000,A,104.9000
004108,20211231,2021,INDL,C,D,STD,FLS,USD,2388.6770,4749.7680,1804.3190,129.9990,105.4690,275.1400,1131.8050,2912.4230,125.9490,3541.0600,1804.3190,A,30.6000
004115,20210131,2020,INDL,C,D,STD,DY,USD,1168.6300,1944.1650,811.3080,30.6150,0.0000,123.7630,448.4900,1132.8570,34.3370,3199.1650,811.3080,A,75.5200
004145,20211231,2021,INDL,C,D,STD,PKI,USD,2440.7800,15000.5540,7141.2450,126.2410,33.2450,1473.8570,1213.7440,7859.3090,943.1570,5067.1690,7141.2450,A,201.0600
004193,20211231,2021,INDL,C,D,STD,EGP,USD,,3215.3360,1570.0700,41.2690,145.9460,150.9000,,1643.8760,157.5570,409.4810,1570.0700,A,227.8500
004194,20211231,2021,INDL,C,D,STD,KODK,USD,807.0000,2171.0000,781.0000,78.7000,2.0000,-46.0000,309.0000,1194.0000,24.0000,1150.0000,977.0000,A,4.6800
004199,20211231,2021,INDL,C,D,STD,ETN,USD,7511.0000,34027.0000,16413.0000,398.8000,1219.0000,2463.0000,7212.0000,17576.0000,2144.0000,19628.0000,16413.0000,A,172.8200
004213,20211231,2021,INDL,C,D,STD,ECL,USD,4687.1000,21206.4000,7224.2000,286.8840,558.4000,1795.1000,3553.2000,13953.3000,1129.9000,12733.1000,7224.2000,A,234.5900
004321,20210930,2021,INDL,C,D,STD,EMR,USD,8432.0000,24715.0000,9883.0000,595.8000,1210.0000,3084.0000,6246.0000,14792.0000,2303.0000,18236.0000,9883.0000,A,92.9700
004383,20210930,2021,INDL,C,D,STD,ATO,USD,2838.7150,19608.6620,7906.8890,132.4200,323.9040,904.9980,3510.3550,11701.7730,665.5630,3407.4900,7906.8890,A,104.7700
004384,20211231,2021,INDL,C,D,STD,MARA,USD,688.1500,1448.2440,683.0230,102.7330,0.0000,-55.5350,13.7940,765.2210,-36.1750,150.4640,683.0230,A,32.8600
004390,20210228,2020,INDL,C,D,STD,EBF,USD,148.0740,364.3880,300.5490,25.9500,23.4670,35.7960,35.0520,63.8390,24.0940,357.9730,300.5490,A,17.8500
004423,20211231,2021,INDL,C,D,STD,EFX,USD,1120.9000,11040.9000,3584.4000,122.1000,191.2000,1146.6000,2291.3000,7439.7000,744.2000,4923.9000,3584.4000,A,292.7900
004430,20211231,2021,INDL,C,D,STD,EQT,USD,2286.7660,21607.3880,10029.5270,376.3990,0.0000,-1312.0360,5080.1710,11561.6250,-1155.7590,3064.6630,10029.5270,A,21.8100
004462,20211231,2021,INDL,C,D,STD,NEU,USD,1388.1730,2558.4360,762.1290,10.3630,85.9100,257.7820,725.0870,1796.3070,190.9080,2356.1100,762.1290,A,342.7200
004494,20211231,2021,INDL,C,D,STD,EXPD,USD,6635.0450,7609.9290,3494.4260,167.2100,195.7660,1909.3260,3726.2970,4111.9380,1415.4920,16523.5170,3494.4260,A,134.2900
004497,20211231,2021,INDL,C,D,STD,BOOM,USD,239.1960,864.4120,360.5250,19.3500,0.0000,-4.9890,105.8140,306.6910,-0.2020,260.1150,360.5250,A,39.6100
004498,20210930,2021,INDL,C,D,STD,IIIN,USD,246.9060,390.7100,302.0380,19.4080,31.2940,89.1600,68.8490,88.6720,66.6100,590.6010,302.0380,A,39.8100
004510,20211231,2021,INDL,C,D,STD,FMC,USD,4937.6000,10581.3000,3032.5000,125.6990,251.6000,1153.3000,3520.3000,7529.4000,736.5000,5045.2000,3032.5000,A,109.8900
004517,20211231,2021,INDL,C,D,STD,NEE,USD,9288.0000,140912.0000,37202.0000,1963.0000,3024.0000,2941.0000,17437.0000,95243.0000,3573.0000,17069.0000,37202.0000,A,93.3600
004598,20210531,2020,INDL,C,D,STD,FDX,USD,20580.0000,82777.0000,24168.0000,266.9530,686.0000,6438.0000,13660.0000,58609.0000,5231.0000,83959.0000,24168.0000,A,259.6200
004605,20211231,2021,INDL,C,D,STD,FRT,USD,,7622.3200,2420.6050,78.6030,340.1580,307.5290,,4745.4640,261.4980,953.9780,2580.6020,A,136.3200
004608,20211231,2021,INDL,C,D,STD,FSS,USD,431.0000,1366.1000,784.0000,60.9000,22.0000,129.0000,170.4000,582.1000,100.6000,1213.2000,784.0000,A,43.3400
004611,20210131,2020,INDL,C,D,STD,M,USD,6184.0000,17706.0000,2553.0000,310.5000,117.0000,-1031.0000,5357.0000,15153.0000,-3944.0000,18097.0000,2553.0000,A,11.2500
004622,20211231,2021,INDL,C,D,STD,FOE,USD,539.7820,1290.0240,538.3840,83.6230,0.0000,156.3880,304.1490,741.9210,148.8310,1126.2640,538.3840,A,21.8300
004640,20211231,2021,INDL,C,D,STD,FITB,USD,,211116.0000,20094.0000,682.7780,916.0000,4822.0000,,188906.0000,2770.0000,8269.0000,22210.0000,A,43.5500
004674,20211231,2021,INDL,C,D,STD,RF,USD,,162938.0000,16667.0000,941.9080,741.0000,4071.0000,,144612.0000,2521.0000,6587.0000,18326.0000,A,21.8000
004685,20211231,2021,INDL,C,D,STD,TRMK,USD,,17595.6360,1741.3110,61.6490,58.0850,286.0200,,15854.3250,147.3650,664.4210,1741.3110,A,32.4600
004690,20211231,2021,INDL,C,D,STD,FCNCA,USD,,58308.1400,4397.3040,9.8160,36.9990,807.8000,,53570.8990,547.4590,1959.0120,4737.2410,A,829.8400
004699,20211231,2021,INDL,C,D,STD,MTB,USD,,155107.1600,16153.4050,128.6890,655.8820,3370.7060,,137203.7550,1858.7460,6105.7780,17903.4050,A,153.5800
